Time,Jan 21,Jan 28,Feb 04,Feb 11,Feb 18,Feb 25,Mar 04,Mar 11
12pm,59.45,85.05,66.35,67.65,70.35,64.95,30.65,60.90
1pm,110.4,186.65,195.7,198.65,215.6,186.65,192.9,118.70
2pm,44.55,65.25,49.95,42.85,25,46.65,125.2,81.40
3pm,0,0,0,0,0,0,0,0
4pm,0,0,0,0,0,0,0,0
5pm,115.45,197.9,215.95,200,276.2,260.65,191.05,259.05
6pm,542.95,495.15,663.6,588.2,519.55,577.35,423.35,504.80
7pm,584.35,609.8,594.85,477.35,437.4,600.45,576.85,717.85
8pm,376.9,304.1,400.65,265.55,437.4,447.6,204.1,546.15
9pm,283.1,326.45,309.3,248.9,225.3,345.85,262,242.95
10pm,17.9,184.15,110.52,120.25,45.3,106.55,104.25,55.60
